month,day,year,gen,use,House overall,Furnace,Home office,Living room,Wine cellar,Garage door,Kitchen,Barn,Well,Fridge,Microwave,Dishwasher,Temperature,Humidity,Visibility,ApparentTemperature,Pressure,WindSpeed,windBearing,Precip,DewPoint
1,31,2016,2596.565467,46256.15332,46256.15332,20272.44738,4043.940117,1921.156633,840.7625333,605.0416667,462.0332494,3314.010383,766.1106014,2436.271883,429.5323504,1613.572299,1273505.14,27211.88,423867.34,972677.2,44993345.72,345774.82,9576194,52.4958,734720.96
2,29,2016,2704.2217,41558.03527,41558.03527,19171.33307,2850.642583,1408.8709,832.4884834,572.1597334,411.8211852,2817.22155,741.0790832,2225.08005,388.0254336,1399.090831,1272524.82,26287.66,370827.64,1019057.06,42408937.14,335978.38,9005914,191.4,773126.34
3,31,2016,3795.807367,34026.88088,34026.88088,13046.52643,3511.7364,1585.980033,1268.479517,614.3681667,403.4090918,1791.915983,731.8273334,2393.10105,426.9108836,1506.501997,1893779.82,27006.82,415287.06,1725778.62,45325122.2,348506.48,8826994,102.7296,1266782.82
4,30,2016,3893.53495,29662.8459,29662.8459,9393.876,3173.250717,1571.712033,1548.4676,627.4250833,311.4367813,2626.763767,658.3560167,2454.983017,488.5103502,1443.403725,2009284.86,24343.16,407053.96,1906766.44,43968226.88,279707.68,7829250,106.1054,1266699.98
5,31,2016,3670.71205,25550.84315,25550.84315,5957.877471,2768.990462,1179.055583,1561.469854,617.5326832,297.3273715,3321.740146,450.9402333,2648.659933,406.9172836,1180.812253,2741102.92,28744.4,413311.66,2718423.98,45292048.56,272747.04,8057126,101.378,2117725.96
6,30,2016,4496.177683,23173.29327,23173.29327,4017.613567,3293.974683,1183.9457,2004.02855,627.1133001,283.7161839,3089.382267,812.7650661,3023.879283,360.3445335,1072.109282,2939548.82,26447.8,420454.98,2935773.02,43734447.44,293730.26,9856594,71.108,2273238.24
7,31,2016,4092.76505,52167.12535,52167.12535,7656.29405,4055.020917,1044.151083,2897.184217,653.96925,405.8689481,2262.75545,761.6379166,3571.027083,533.9456002,1298.198965,3266665.62,31076.81,416655.03,3277066.06,45291986.54,237031.33,8726364,156.1155,2738618.11
8,31,2016,4192.526816,61786.43333,61786.43333,8726.455583,4415.748867,1789.761367,4397.20715,616.8951666,538.996528,1654.66445,635.5013668,3767.022817,606.0458168,1355.582418,3239061.56,32280.4,425692.47,3265930.24,45411035.35,259527.83,8277603,121.3473,2774927.02
9,30,2016,3486.35755,31955.49687,31955.49687,4671.403867,3619.1367,1466.955383,2787.0931,622.3849001,542.1076783,2660.68755,586.2544169,3235.566383,473.3474834,1408.481553,2590152.45,32500.29,391836.09,2580783.93,44135220.52,238256.4,7197901,101.5911,2205009.54
10,31,2016,2399.078134,30222.92993,30222.92993,6569.421133,3928.120117,1436.985717,1328.242733,648.8913499,485.0232916,2794.600633,644.8312507,2724.290167,648.5162497,1334.970093,2139351.02,31915.44,419083.32,2037498.29,45440769.31,296114.39,10128871,95.1444,1709405.81
11,30,2016,2254.192834,36416.598,36416.598,10885.69032,3531.38265,2142.70465,1244.864733,614.88905,574.9394847,2393.53785,771.3394335,2406.759267,541.4445498,1496.017583,1579043.42,32046.81,366243.66,1393893.74,43866129.76,278554.66,9718274,146.7978,1227686.7
12,31,2016,830.8252332,20063.1052,20063.1052,8548.519083,1769.33375,1063.197633,522.79085,304.1769667,215.5067877,766.3536667,321.5211332,1140.069667,230.8996832,697.6685113,625347.82,14777.62,192589.89,486752.26,22257282.62,165039.75,4768552,62.9819,410358.36
