,gen,temperature,humidity,visibility,apparentTemperature,pressure,windSpeed,windBearing,precipIntensity,dewPoint
2016-01-31,2596.5654668129814,1273505.1399999775,27211.880000001092,423867.33999999997,972677.199999994,44993345.72000108,345774.81999999547,9576194.0,52.49579999999953,734720.9599999822
2016-02-29,2704.221699973966,1272524.819999913,26287.659999999676,370827.64000000106,1019057.059999968,42408937.14000118,335978.37999997835,9005914.0,191.3999999999965,773126.3400000497
2016-03-31,3795.807366714771,1893779.8200000538,27006.820000001415,415287.05999999505,1725778.6200001342,45325122.20000124,348506.47999999375,8826994.0,102.72959999999505,1266782.8199999568
2016-04-30,3893.5349497538814,2009284.8600001335,24343.15999999893,407053.9600000297,1906766.4400000488,43968226.880001664,279707.6799999904,7829250.0,106.10539999999502,1266699.9800001257
2016-05-31,3670.712050098942,2741102.920000204,28744.399999999318,413311.66000000975,2718423.9800000777,45292048.56000145,272747.0399999913,8057126.0,101.37799999999967,2117725.9600000223
2016-06-30,4496.177683379896,2939548.8200000604,26447.800000001138,420454.98000000697,2935773.0200000494,43734447.44000278,293730.2600000074,9856594.0,71.10800000000036,2273238.2399999164
2016-07-31,4092.7650502988868,3266665.6199997445,31076.81000000089,416655.02999999403,3277066.0599998063,45291986.53999429,237031.32999999778,8726364.0,156.11550000000088,2738618.110000155
2016-08-31,4192.52681642492,3239061.5599998175,32280.40000000011,425692.46999998915,3265930.239999918,45411035.35000193,259527.83000000493,8277603.0,121.34729999999529,2774927.0199997155
2016-09-30,3486.3575502267886,2590152.449999797,32500.28999999852,391836.0900000047,2580783.9299999485,44135220.52000101,238256.40000000538,7197901.0,101.59109999999752,2205009.5400000475
2016-10-31,2399.0781336719865,2139351.0199999567,31915.439999999573,419083.3200000166,2037498.289999915,45440769.309996724,296114.3899999884,10128871.0,95.14439999999945,1709405.8100000028
2016-11-30,2254.19283379892,1579043.419999875,32046.80999999609,366243.6600000119,1393893.7399999,43866129.760001935,278554.6599999923,9718274.0,146.79779999999914,1227686.6999999871
2016-12-31,830.8252331930191,625347.8200000039,14777.620000000803,192589.89000000007,486752.26000000624,22257282.620000068,165039.7500000043,4768552.0,62.98189999999885,410358.3599999851
